,datetime,contract_code,ibContract_m_symbol,ibContract_m_secType,ibContract_m_currency,ibContract_m_exchange,ibContract_m_multiplier,ibContract_m_expiry,ibContract_m_strike,ibContract_m_right,position,marketPrice,marketValue,averageCost,unrealizedPNL,realizedPNL,accountName,strategy_name,run_number
0,2016-06-08 13:52:50.712,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-20.0,98.9549942,-1979.1,98.84371455,-2.23,-570.6,DU213041,MyStrategy,145.0
1,2016-06-08 13:52:50.881,EUR:CASH:0:0.0:None,EUR,CASH,USD,,,,0.0,0,-5.0,1.14008,-5.7,0.91886,-1.11,0.0,DU213041,MyStrategy,145.0
2,2016-06-08 13:53:11.144,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-30.0,98.94000245,-2968.2,98.8417574,-2.95,-570.6,DU213041,MyStrategy,145.0
3,2016-06-08 13:53:31.308,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-20.0,98.94000245,-1978.8,98.8417574,-1.96,-572.68,DU213041,MyStrategy,145.0
4,2016-06-08 13:53:46.454,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-20.0,98.9599991,-1979.2,98.8417574,-2.36,-572.68,DU213041,MyStrategy,145.0
5,2016-06-08 13:54:06.607,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-30.0,98.94000245,-2968.2,98.84045265,-2.99,-572.68,DU213041,MyStrategy,145.0
6,2016-06-08 13:54:40.859,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-20.0,98.94000245,-1978.8,98.84045265,-1.99,-574.78,DU213041,MyStrategy,145.0
7,2016-06-08 13:54:40.909,EUR:CASH:0:0.0:None,EUR,CASH,USD,,,,0.0,0,-5.0,1.14032995,-5.7,0.91886,-1.11,0.0,DU213041,MyStrategy,145.0
8,2016-06-08 13:55:56.557,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-30.0,98.9549942,-2968.65,98.84291605,-3.36,-574.78,DU213041,MyStrategy,145.0
9,2016-06-08 13:56:11.556,AAPL:STK:0:0.0:None,AAPL,STK,USD,,,,0.0,0,-30.0,98.9449997,-2968.35,98.84291605,-3.06,-574.78,DU213041,MyStrategy,145.0
10,2016-06-08 13:56:11.608,EUR:CASH:0:0.0:None,EUR,CASH,USD,,,,0.0,0,-5.0,1.140115,-5.7,0.91886,-1.11,0.0,DU213041,MyStrategy,145.0
